id_paciente;pontuacao_nps;faixa_etaria
1001;10;0-18
1002;7;19-40
1003;8;19-40
1004;10;0-18
1005;9;60+
1006;9;0-18
1007;10;19-40
1008;8;0-18
1009;6;19-40
1010;6;60+
1011;8;60+
1012;9;41-60
1013;9;19-40
1014;10;41-60
1015;7;19-40
1016;8;41-60
1017;10;0-18
1018;10;0-18
1019;9;41-60
1020;9;41-60
1021;9;60+
1022;6;0-18
1023;10;0-18
1024;6;41-60
1025;9;41-60
1026;9;19-40
1027;10;0-18
1028;8;41-60
1029;10;19-40
1030;10;60+
1031;7;60+
1032;9;19-40
1033;9;41-60
1034;8;41-60
1035;10;19-40
1036;6;19-40
1037;10;60+
1038;10;41-60
1039;6;19-40
1040;9;0-18
1041;8;0-18
1042;9;60+
1043;7;0-18
1044;8;41-60
1045;8;60+
1046;10;60+
1047;10;41-60
1048;10;19-40
1049;6;41-60
1050;9;60+
1051;9;60+
1052;9;19-40
1053;10;60+
1054;10;0-18
1055;10;19-40
1056;10;60+
1057;9;0-18
1058;10;60+
1059;9;60+
1060;6;41-60
1061;6;0-18
1062;10;41-60
1063;9;0-18
1064;7;60+
1065;10;60+
1066;9;41-60
1067;6;19-40
1068;6;0-18
1069;7;19-40
1070;10;41-60
1071;10;0-18
1072;9;41-60
1073;5;0-18
1074;10;41-60
1075;7;19-40
1076;9;19-40
1077;9;0-18
1078;10;60+
1079;10;19-40
1080;10;60+
1081;6;19-40
1082;7;60+
1083;8;19-40
1084;7;60+
1085;9;60+
1086;6;60+
1087;10;19-40
1088;8;0-18
1089;9;0-18
1090;9;19-40
1091;9;19-40
1092;9;0-18
1093;9;19-40
1094;10;0-18
1095;9;0-18
1096;6;19-40
1097;7;60+
1098;8;19-40
1099;9;60+
1100;8;60+
1101;10;19-40
1102;10;0-18
1103;10;41-60
1104;10;60+
1105;5;0-18
1106;10;0-18
1107;10;41-60
1108;10;19-40
1109;8;19-40
1110;6;60+
1111;10;60+
1112;10;41-60
1113;5;19-40
1114;10;60+
1115;6;0-18
1116;9;0-18
1117;10;19-40
1118;10;60+
1119;5;60+
1120;8;60+
1121;9;19-40
1122;10;0-18
1123;10;41-60
1124;5;41-60
1125;10;60+
1126;10;19-40
1127;7;19-40
1128;9;0-18
1129;9;0-18
1130;9;60+
1131;6;19-40
1132;9;0-18
1133;10;0-18
1134;9;0-18
1135;8;60+
1136;10;19-40
1137;9;0-18
1138;9;0-18
1139;10;41-60
1140;7;19-40
1141;9;19-40
1142;7;60+
1143;10;41-60
1144;5;41-60
1145;10;0-18
1146;5;0-18
1147;10;19-40
1148;6;41-60
1149;10;41-60
1150;10;19-40
1151;9;41-60
1152;10;60+
1153;6;41-60
1154;9;0-18
1155;6;41-60
1156;10;19-40
1157;7;0-18
1158;10;19-40
1159;7;41-60
1160;9;19-40
1161;9;19-40
1162;7;60+
1163;7;0-18
1164;10;60+
1165;7;0-18
1166;9;41-60
1167;10;41-60
1168;10;60+
1169;6;60+
1170;6;0-18
1171;10;0-18
1172;10;0-18
1173;9;19-40
1174;10;19-40
1175;9;41-60
1176;9;0-18
1177;9;19-40
1178;8;0-18
1179;9;60+
1180;9;19-40
1181;8;19-40
1182;10;60+
1183;9;19-40
1184;9;60+
1185;8;41-60
1186;10;0-18
1187;10;0-18
1188;5;19-40
1189;8;60+
1190;9;41-60
1191;8;19-40
1192;9;19-40
1193;10;41-60
1194;7;0-18
1195;7;41-60
1196;6;60+
1197;6;41-60
1198;9;0-18
1199;7;19-40
1200;9;41-60
1201;9;0-18
1202;9;60+
1203;9;41-60
1204;10;0-18
1205;10;19-40
1206;7;0-18
1207;10;0-18
1208;6;19-40
1209;9;60+
1210;10;41-60
1211;9;41-60
1212;10;41-60
1213;6;41-60
1214;10;41-60
1215;10;41-60
1216;6;19-40
1217;8;60+
1218;10;19-40
1219;9;41-60
1220;10;0-18
1221;7;41-60
1222;8;60+
1223;9;41-60
1224;5;60+
1225;5;19-40
1226;6;60+
1227;10;0-18
1228;7;41-60
1229;10;19-40
1230;7;19-40
1231;8;19-40
1232;9;0-18
1233;8;60+
1234;9;0-18
1235;5;60+
1236;9;19-40
1237;10;60+
1238;10;19-40
1239;10;0-18
1240;10;60+
1241;8;19-40
1242;6;60+
1243;9;19-40
1244;10;60+
1245;10;60+
1246;6;41-60
1247;5;60+
1248;6;60+
1249;10;60+
1250;5;41-60
1251;8;41-60
1252;6;60+
1253;8;41-60
1254;5;0-18
1255;7;19-40
1256;7;41-60
1257;9;0-18
1258;10;19-40
1259;8;60+
1260;10;19-40
1261;10;60+
1262;10;41-60
1263;6;60+
1264;10;0-18
1265;8;60+
1266;10;0-18
1267;9;60+
1268;5;0-18
1269;9;41-60
1270;10;60+
1271;6;19-40
1272;5;19-40
1273;7;60+
1274;5;0-18
1275;10;41-60
1276;10;19-40
1277;5;19-40
1278;9;0-18
1279;10;0-18
1280;10;60+
1281;10;60+
1282;10;0-18
1283;7;60+
1284;9;19-40
1285;5;41-60
1286;9;60+
1287;7;60+
1288;7;0-18
1289;5;0-18
1290;6;0-18
1291;9;19-40
1292;10;0-18
1293;9;19-40
1294;8;0-18
1295;9;19-40
1296;8;19-40
1297;5;0-18
1298;9;19-40
1299;5;41-60
1300;9;19-40
